Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
18;5600153491;"Journal of Multilingual and Multicultural Development";journal;"01434632";"Routledge";No;No;1,088;Q1;70;497;304;28421;1254;292;4,16;57,19;57,26;7;87;United Kingdom;Western Europe;"Routledge";"1980-2025";"Cultural Studies (Q1); Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
19;5700164250;"Pedagogy, Culture and Society";journal;"14681366";"Routledge";No;No;1,055;Q1;49;133;157;7548;614;156;3,31;56,75;62,17;2;60;United Kingdom;Western Europe;"Routledge";"1999-2025";"Cultural Studies (Q1); Education (Q1)";"Social Sciences"
20;26124;"Ethnic and Racial Studies";journal;"01419870, 14664356";"Routledge";No;No;1,036;Q1;125;274;524;14753;1675;476;2,73;53,84;61,08;9;114;United Kingdom;Western Europe;"Routledge";"1978-2025";"Anthropology (Q1); Cultural Studies (Q1); Sociology and Political Science (Q1)";"Social Sciences"
21;16563;"Tourism Recreation Research";journal;"02508281, 23200308";"Taylor and Francis Ltd.";No;No;1,036;Q1;68;207;206;15146;1418;198;6,11;73,17;39,07;3;105;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1976-2025";"Cultural Studies (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Tourism, Leisure and Hospitality Management (Q1)";"Business, Management and Accounting; Environmental Science; Social Sciences"
22;300147008;"European Journal of Cultural Studies";journal;"13675494";"SAGE Publications Ltd";No;No;1,010;Q1;62;150;232;7734;775;228;2,73;51,56;62,98;2;72;United Kingdom;Western Europe;"SAGE Publications Ltd";"1998-2025";"Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1); Education (Q1)";"Arts and Humanities; Social Sciences"
23;21101019704;"Evolutionary Human Sciences";journal;"2513843X";"Cambridge University Press";Yes;No;0,991;Q1;18;51;131;3961;359;127;2,60;77,67;31,14;0;14;United States;Northern America;"Cambridge University Press";"2019-2025";"Anthropology (Q1); Cultural Studies (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Applied Psychology (Q2)";"Agricultural and Biological Sciences; Psychology; Social Sciences"
24;21100385605;"Smart and Sustainable Built Environment";journal;"20466102, 20466099";"Emerald Group Publishing Ltd.";No;No;0,991;Q1;36;178;163;13296;1228;161;6,96;74,70;30,58;0;130;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2012-2025";"Architecture (Q1); Building and Construction (Q1); Civil and Structural Engineering (Q1); Cultural Studies (Q1); Human Factors and Ergonomics (Q1); Urban Studies (Q1); Management, Monitoring, Policy and Law (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Engineering; Environmental Science; Social Sciences"
25;5800207540;"Journal of Politeness Research";journal;"16125681, 16134877";"De Gruyter Mouton";No;No;0,990;Q1;41;23;47;1426;96;47;1,94;62,00;66,67;0;1;Germany;Western Europe;"De Gruyter Mouton";"2005-2025";"Communication (Q1); Cultural Studies (Q1); Linguistics and Language (Q1); Social Psychology (Q2)";"Psychology; Social Sciences"
26;5700152857;"Mind, Culture, and Activity";journal;"10749039, 15327884";"Taylor and Francis Ltd.";No;No;0,987;Q1;65;5;76;220;194;65;1,49;44,00;28,57;0;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994-2025";"Anthropology (Q1); Cultural Studies (Q1); Education (Q1); Linguistics and Language (Q1); Cognitive Neuroscience (Q2); Developmental and Educational Psychology (Q2); Social Psychology (Q2)";"Neuroscience; Psychology; Social Sciences"
27;5700164380;"Comunicar";journal;"19883293, 11343478";"Grupo Comunicar Ediciones";Yes;Yes;0,986;Q1;61;0;122;0;750;122;6,78;0,00;0,00;0;0;Spain;Western Europe;"Grupo Comunicar Ediciones";"2008-2023";"Communication (Q1); Cultural Studies (Q1); Education (Q1)";"Social Sciences"
28;68623;"Annual Review of Anthropology";book series;"15454290, 00846570";"Annual Reviews Inc.";No;No;0,978;Q1;151;24;86;3204;310;83;3,22;133,50;55,56;0;9;United States;Northern America;"Annual Reviews Inc.";"1980-1986, 1988, 1991, 1994, 1996-2024";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1)";"Arts and Humanities; Social Sciences"
29;6500153129;"Cambridge Archaeological Journal";journal;"09597743, 14740540";"Cambridge University Press";No;No;0,974;Q1;59;57;125;5055;288;125;2,08;88,68;35,34;0;8;United Kingdom;Western Europe;"Cambridge University Press";"1991-2025";"Archeology (Q1); Archeology (arts and humanities) (Q1); Cultural Studies (Q1)";"Arts and Humanities; Social Sciences"
30;5700167676;"Cultural Trends";journal;"14693690, 09548963";"Routledge";No;No;0,967;Q1;39;83;99;3808;322;84;2,69;45,88;53,85;5;29;United Kingdom;Western Europe;"Routledge";"1989-1995, 1998, 2004-2008, 2010-2025";"Communication (Q1); Cultural Studies (Q1); Visual Arts and Performing Arts (Q1)";"Arts and Humanities; Social Sciences"
31;24733;"American Behavioral Scientist";journal;"15523381, 00027642";"SAGE Publications Inc.";No;No;0,961;Q1;139;233;416;12710;1428;398;1,95;54,55;52,79;5;116;United States;Northern America;"SAGE Publications Inc.";"1957-2025";"Cultural Studies (Q1); Education (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Social Psychology (Q2)";"Psychology; Social Sciences"
32;16473;"Journal of Contemporary Asia";journal;"00472336, 17527554";"Taylor and Francis Ltd.";No;No;0,960;Q1;53;69;109;4543;340;108;2,86;65,84;36,08;2;36;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1970-2025";"Cultural Studies (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
33;15060;"Africa Spectrum";journal;"00020397";"Institut fur Afrika-Kunde";Yes;Yes;0,912;Q1;31;25;46;1253;99;44;2,37;50,12;19,44;3;13;Germany;Western Europe;"Institut fur Afrika-Kunde";"1983-1984, 2006-2025";"Cultural Studies (Q1); Development (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
34;25642;"Perspectives: Studies in Translation Theory and Practice";journal;"0907676X, 17476623";"Routledge";No;No;0,911;Q1;40;134;202;6099;437;191;2,05;45,51;60,28;0;11;United Kingdom;Western Europe;"Routledge";"1996-2025";"Cultural Studies (Q1); Linguistics and Language (Q1); Literature and Literary Theory (Q1)";"Arts and Humanities; Social Sciences"
35;21100416147;"Reproductive Biomedicine and Society Online";journal;"24056618";"Elsevier Ltd";Yes;No;0,903;Q1;26;0;44;0;155;40;3,33;0,00;0,00;0;0;United Kingdom;Western Europe;"Elsevier Ltd";"2015-2022";"Cultural Studies (Q1); Health (social science) (Q1); Reproductive Medicine (Q1); Developmental Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine; Social Sciences"
36;11600153433;"Games and Culture";journal;"15554139, 15554120";"SAGE Publications Inc.";No;No;0,888;Q1;66;121;185;6697;686;184;3,07;55,35;33,81;1;22;United States;Northern America;"SAGE Publications Inc.";"2006-2025";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Communication (Q1); Cultural Studies (Q1); Applied Psychology (Q2); Human-Computer Interaction (Q2)";"Arts and Humanities; Computer Science; Psychology; Social Sciences"
37;12100156106;"Journal of Children and Media";journal;"17482801, 17482798";"Routledge";No;No;0,884;Q1;35;55;141;2460;445;134;2,53;44,73;84,52;1;10;United Kingdom;Western Europe;"Routledge";"2014-2025";"Communication (Q1); Cultural Studies (Q1)";"Social Sciences"
38;21100774809;"Crime Science";journal;"21937680";"SpringerOpen";Yes;No;0,881;Q1;37;43;60;2620;246;60;3,03;60,93;36,81;1;22;United Kingdom;Western Europe;"SpringerOpen";"2013-2024";"Cultural Studies (Q1); Law (Q1); Safety Research (Q1); Urban Studies (Q1)";"Social Sciences"
39;5700155017;"Nordicom Review";journal;"14031108, 20015119";"";Yes;Yes;0,868;Q1;25;22;79;1328;225;79;2,11;60,36;54,72;1;5;Sweden;Western Europe;"";"2000-2024";"Communication (Q1); Cultural Studies (Q1); Sociology and Political Science (Q1)";"Social Sciences"
40;20000195001;"Media International Australia";journal;"1329878X, 2200467X";"SAGE Publications Inc.";No;No;0,858;Q1;38;72;171;4349;551;169;2,99;60,40;51,95;0;32;Australia;Pacific Region;"SAGE Publications Inc.";"2008-2025";"Communication (Q1); Cultural Studies (Q1)";"Social Sciences"
41;19900192720;"China Economic Journal";journal;"17538963, 17538971";"Routledge";No;No;0,857;Q1;30;28;63;1212;282;59;2,23;43,29;43,40;0;20;United Kingdom;Western Europe;"Routledge";"2010-2025";"Cultural Studies (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
42;16498;"Past and Present";journal;"00312746, 1477464X";"Oxford University Press";No;No;0,854;Q1;52;42;113;5331;206;109;1,84;126,93;49,06;0;9;United Kingdom;Western Europe;"Oxford University Press";"1952-2002, 2005-2025";"Cultural Studies (Q1); History (Q1)";"Arts and Humanities; Social Sciences"
43;19900191744;"Equality, Diversity and Inclusion";journal;"17587093, 20407149";"Emerald Publishing";No;No;0,852;Q1;45;141;197;9181;707;189;3,36;65,11;65,54;0;89;United Kingdom;Western Europe;"Emerald Publishing";"2010-2025";"Cultural Studies (Q1); Gender Studies (Q1); Sociology and Political Science (Q1); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting; Social Sciences"
44;3500148027;"Science as Culture";journal;"09505431";"Taylor and Francis Ltd.";No;No;0,849;Q1;52;38;80;2191;240;73;3,33;57,66;50,00;1;18;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1987-2025";"Cultural Studies (Q1); Health (social science) (Q1); History and Philosophy of Science (Q1); Sociology and Political Science (Q1); Biomedical Engineering (Q2); Biotechnology (Q2)";"Arts and Humanities; Biochemistry, Genetics and Molecular Biology; Engineering; Social Sciences"
45;4900152805;"Archaeology, Ethnology and Anthropology of Eurasia";journal;"15630110";"Elsevier";No;No;0,846;Q1;23;59;186;1832;110;186;0,61;31,05;44,83;0;4;Russian Federation;Eastern Europe;"Elsevier";"2006-2024";"Archeology (arts and humanities) (Q1); Cultural Studies (Q1)";"Arts and Humanities; Social Sciences"
46;19700194016;"Journal of Cultural Economy";journal;"17530369, 17530350";"Taylor and Francis Ltd.";No;No;0,840;Q1;37;74;168;4673;433;166;2,33;63,15;47,00;0;24;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2025";"Cultural Studies (Q1)";"Social Sciences"
47;5600152890;"Body and Society";journal;"1357034X, 14603632";"SAGE Publications Ltd";No;No;0,815;Q1;78;18;48;1016;101;48;1,81;56,44;58,62;0;6;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-2025";"Cultural Studies (Q1); Health (social science) (Q1); Social Psychology (Q2)";"Psychology; Social Sciences"
48;19800188060;"Celebrity Studies";journal;"19392400, 19392397";"Routledge";No;No;0,815;Q1;31;56;139;2805;256;124;1,34;50,09;57,75;0;7;United Kingdom;Western Europe;"Routledge";"2010-2025";"Cultural Studies (Q1)";"Social Sciences"
49;6300153126;"Cultural Sociology";journal;"17499755";"SAGE Publications Ltd";No;No;0,808;Q1;46;58;89;3952;257;88;2,84;68,14;50,55;0;13;United Kingdom;Western Europe;"SAGE Publications Ltd";"2007-2025";"Cultural Studies (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
50;5700154545;"International Journal of Heritage Studies";journal;"14703610, 13527258";"Taylor and Francis Ltd.";No;No;0,802;Q1;66;118;235;6879;738;234;2,97;58,30;61,39;2;62;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994-2025";"Conservation (Q1); Cultural Studies (Q1); Geography, Planning and Development (Q1); History (Q1); Museology (Q1); Tourism, Leisure and Hospitality Management (Q2)";"Arts and Humanities; Business, Management and Accounting; Social Sciences"
51;20000195092;"Tel Aviv";journal;"03344355, 20404786";"Maney Publishing";No;No;0,795;Q1;37;13;40;765;51;39;1,46;58,85;34,15;0;1;United Kingdom;Western Europe;"Maney Publishing";"1974-2024";"Archeology (Q1); Archeology (arts and humanities) (Q1); Cultural Studies (Q1); History (Q1)";"Arts and Humanities; Social Sciences"
52;21101051829;"Psychology of Popular Media";journal;"26896575, 26896567";"American Psychological Association";No;No;0,773;Q1;32;65;212;3481;601;210;2,34;53,55;61,62;0;8;United States;Northern America;"American Psychological Association";"2020-2024";"Communication (Q1); Cultural Studies (Q1); Applied Psychology (Q2); Psychology (miscellaneous) (Q2)";"Psychology; Social Sciences"
53;23552;"Cultural Geographies";journal;"14744740, 14770881";"SAGE Publications Ltd";No;No;0,770;Q1;73;68;133;0;372;130;1,76;0,00;46,30;0;23;United Kingdom;Western Europe;"SAGE Publications Ltd";"1994-1998, 2002-2024";"Cultural Studies (Q1); Geography, Planning and Development (Q1); Environmental Science (miscellaneous) (Q2)";"Environmental Science; Social Sciences"
54;4700152406;"Ethnicities";journal;"14687968, 17412706";"SAGE Publications Ltd";No;No;0,763;Q1;63;75;154;3826;371;154;2,66;51,01;50,00;1;30;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2025";"Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1)";"Arts and Humanities; Social Sciences"
55;16300154766;"Crime, Media, Culture";journal;"17416590, 17416604";"SAGE Publications Ltd";No;No;0,754;Q1;49;46;92;3087;259;80;2,36;67,11;54,55;0;24;United Kingdom;Western Europe;"SAGE Publications Ltd";"2005-2025";"Arts and Humanities (miscellaneous) (Q1); Communication (Q1); Cultural Studies (Q1); Law (Q1)";"Arts and Humanities; Social Sciences"
56;5700164337;"Journal of Tourism and Cultural Change";journal;"14766825";"Taylor and Francis Ltd.";No;No;0,752;Q1;43;26;132;1843;492;131;3,59;70,88;63,33;0;17;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2003-2025";"Cultural Studies (Q1); Geography, Planning and Development (Q1); Nature and Landscape Conservation (Q1); Tourism, Leisure and Hospitality Management (Q2); Transportation (Q2)";"Business, Management and Accounting; Environmental Science; Social Sciences"
57;21100838559;"Fashion and Textiles";journal;"21980802";"Springer Singapore";Yes;No;0,750;Q1;37;42;132;2047;622;132;4,13;48,74;62,39;0;9;Singapore;Asiatic Region;"Springer Singapore";"2014-2025";"Cultural Studies (Q1); Marketing (Q2); Materials Science (miscellaneous) (Q2); Social Psychology (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Materials Science; Psychology; Social Sciences"
58;21100800449;"Critical Studies in Television";journal;"17496039, 17496020";"SAGE Publications Inc.";No;No;0,746;Q1;16;43;85;2505;143;72;1,17;58,26;50,00;0;3;United Kingdom;Western Europe;"SAGE Publications Inc.";"2014-2025";"Communication (Q1); Cultural Studies (Q1)";"Social Sciences"
59;16300154746;"International Journal of Cross Cultural Management";journal;"14705958, 17412838";"SAGE Publications Ltd";No;No;0,743;Q1;57;37;81;2834;262;72;2,38;76,59;42,35;0;6;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2025";"Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1); Business and International Management (Q2); Organizational Behavior and Human Resource Management (Q2)";"Arts and Humanities; Business, Management and Accounting; Social Sciences"
60;6400153111;"Journal of Ethnobiology and Ethnomedicine";journal;"17464269";"BioMed Central Ltd";Yes;No;0,733;Q1;99;104;203;7802;996;202;4,69;75,02;35,14;0;66;United Kingdom;Western Europe;"BioMed Central Ltd";"2005-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Complementary and Alternative Medicine (Q1); Cultural Studies (Q1); Plant Science (Q1); Health (social science) (Q2)";"Agricultural and Biological Sciences; Medicine; Social Sciences"
61;4700152759;"Journal of Bisexuality";journal;"15299716";"Taylor and Francis Ltd.";No;No;0,731;Q1;46;42;75;2790;174;73;2,00;66,43;68,97;0;12;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2000-2025";"Cultural Studies (Q1); Gender Studies (Q1)";"Social Sciences"
62;21100455449;"Porn Studies";journal;"23268743, 23268751";"Taylor and Francis Ltd.";No;No;0,722;Q1;24;54;127;2660;259;107;1,22;49,26;47,30;0;14;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2025";"Cultural Studies (Q1); Gender Studies (Q1); Social Psychology (Q2)";"Psychology; Social Sciences"
63;5600155054;"Journal of International Migration and Integration";journal;"14883473";"Springer Netherlands";No;No;0,721;Q1;38;143;320;9243;755;319;2,41;64,64;57,46;4;111;Netherlands;Western Europe;"Springer Netherlands";"2004, 2007-2025";"Anthropology (Q1); Cultural Studies (Q1); Demography (Q1)";"Social Sciences"
64;23638;"Gender, Place and Culture";journal;"0966369X, 13600524";"Routledge";No;No;0,720;Q1;86;121;251;6900;636;246;2,29;57,02;77,13;0;80;United Kingdom;Western Europe;"Routledge";"1994-2025";"Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1); Demography (Q1); Gender Studies (Q1)";"Arts and Humanities; Social Sciences"
65;6200180164;"Profesional de la Informacion";journal;"16992407, 13866710";"El Profesional de la Informacion";No;No;0,719;Q1;50;116;388;7073;1356;378;3,44;60,97;48,21;21;49;Spain;Western Europe;"El Profesional de la Informacion";"2006-2025";"Communication (Q1); Cultural Studies (Q1); Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
66;5600155308;"Canadian Slavonic Papers";journal;"00085006";"Taylor and Francis Ltd.";No;No;0,716;Q1;16;28;78;1385;90;64;1,28;49,46;66,67;0;3;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1977-1979, 1996-2024";"Cultural Studies (Q1); History (Q1); Linguistics and Language (Q1); Literature and Literary Theory (Q1); Philosophy (Q1); Sociology and Political Science (Q1); Visual Arts and Performing Arts (Q1)";"Arts and Humanities; Social Sciences"
67;21100803392;"Cross Cultural and Strategic Management";journal;"20595794";"Emerald Group Publishing Ltd.";No;No;0,707;Q1;53;42;101;4392;329;98;3,46;104,57;34,95;0;14;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2016-2025";"Cultural Studies (Q1); Sociology and Political Science (Q1); Business and International Management (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Social Sciences"
68;5700163951;"International Journal of Cultural Policy";journal;"14772833, 10286632";"Routledge";No;No;0,698;Q1;63;105;175;6653;458;171;2,37;63,36;54,05;2;52;United Kingdom;Western Europe;"Routledge";"1997-2025";"Cultural Studies (Q1); Sociology and Political Science (Q1)";"Social Sciences"
69;147232;"International Journal of Cultural Studies";journal;"13678779";"SAGE Publications Ltd";No;No;0,693;Q1;56;73;148;3810;379;147;2,39;52,19;64,91;0;20;United Kingdom;Western Europe;"SAGE Publications Ltd";"1998-2025";"Cultural Studies (Q1)";"Social Sciences"
70;29502;"Race and Class";journal;"03063968";"SAGE Publications Ltd";No;No;0,686;Q1;52;22;76;1584;228;61;2,28;72,00;46,15;1;10;United Kingdom;Western Europe;"SAGE Publications Ltd";"1959, 1962-2025";"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1); Cultural Studies (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
71;21100789945;"International Journal of Gastronomy and Food Science";journal;"18784518, 1878450X";"Elsevier B.V.";No;No;0,685;Q1;41;230;520;12847;2311;516;4,14;55,86;51,49;0;50;Netherlands;Western Europe;"Elsevier B.V.";"2012, 2014-2025";"Cultural Studies (Q1); Food Science (Q2)";"Agricultural and Biological Sciences; Social Sciences"
72;21100201015;"Archnet-IJAR: International Journal of Architectural Research";journal;"26316862, 19387806";"Emerald Publishing";Yes;No;0,679;Q1;28;109;136;5816;537;135;3,26;53,36;57,94;0;63;United Kingdom;Western Europe;"Emerald Publishing";"2011-2025";"Architecture (Q1); Cultural Studies (Q1); Urban Studies (Q1); Visual Arts and Performing Arts (Q1)";"Arts and Humanities; Engineering; Social Sciences"
73;11200153508;"Memory Studies";journal;"17506999, 17506980";"SAGE Publications Ltd";No;No;0,662;Q1;45;129;297;8001;581;282;1,69;62,02;65,09;1;48;United Kingdom;Western Europe;"SAGE Publications Ltd";"2008-2025";"Cultural Studies (Q1); Experimental and Cognitive Psychology (Q2); Social Psychology (Q2)";"Psychology; Social Sciences"
74;21100331602;"Annals of Leisure Research";journal;"11745398, 21596816";"Routledge";No;No;0,661;Q1;38;49;126;3192;388;109;2,87;65,14;53,97;4;25;United States;Northern America;"Routledge";"2008-2025";"Cultural Studies (Q1); Geography, Planning and Development (Q2); Social Psychology (Q2); Tourism, Leisure and Hospitality Management (Q2)";"Business, Management and Accounting; Psychology; Social Sciences"
75;5700165306;"Qualitative Report";journal;"10520147";"Nova Southeastern University";Yes;No;0,660;Q1;63;118;520;6331;1438;519;2,25;53,65;58,87;0;36;United States;Northern America;"Nova Southeastern University";"2009-2025";"Cultural Studies (Q1); Education (Q2); Social Psychology (Q2)";"Psychology; Social Sciences"
76;21100782393;"Innovation and Development";journal;"2157930X, 21579318";"Taylor and Francis Ltd.";No;No;0,658;Q1;21;45;101;3083;299;94;2,53;68,51;29,06;0;37;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2025";"Cultural Studies (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1); Development (Q2); Education (Q2); Geography, Planning and Development (Q2)";"Social Sciences"
