folio_u;tit_propio;nombre_edi;es_enlinea;catalogada;id_catalogo;nombre_largo;issn_e;issn_l;issn_imp;subtemas
27182;"Revista de Pensamiento Crítico Aymara";"Asociación Centro de Investigación y Escuela de Pensamiento Crítico Aymara";1;;;Perú;2707-6938;2707-692X;;"Antropología, Ciencias sociales y humanidades, Educación, Estudios locales, Estudios latinoamericanos, Estudios regionales"
24508;"Revista de Políticas Públicas e Segurança Social";"Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)";1;;;Brasil;2594-3855;2594-3855;;"Administración, Antropología, Ciencias de la comunicación, Ciencias sociales y humanidades, Derecho y jurisprudencia, Derecho civil, Derecho comparado, Derecho internacional, Derecho laboral, Derecho público, Derecho procesal, Economía, Educación, Pedagogía, Psicología, Sociología, Economía internacional, Planeamiento científico y tecnológico, Defensa y seguridad, Trabajo social, Educación superior, Estudios de género"
26514;"Revista de salud LMental.";"Ediciones Primeros Pasos";1;;;Chile;0719-9546;0719-9538;;"Antropología, Psicología, Psiquiatría"
15123;"Revista de Teoria da História";"Universidade Federal de Goiás (UFG)";1;0;5505;Brasil;2175-5892;2175-5892;;"Antropología, Cultura, Filosofía, Historia, Historia de la ciencia, Historia del arte, Humanidades, Filología"
26291;"Revista del laboratorio iberoamericano para el estudio sociohistórico de las sexualidades";"Universidad Pablo de Olavide";1;1;10828;España;2659-8620;2659-8620;;"Antropología, Multidisciplinarias, Sociología, Estudios de género"
15289;"Revista del Museo de Antropología";"Museo de Antropología; Facultad de Filosofía y Humanidades; Universidad Nacional de Córdoba";1;1;5548;Argentina;1852-4826;1852-060X;1852-060X;"Antropología, Museología"
23471;"Revista del Museo de La Plata";"Universidad Nacional de La Plata, Facultad de Ciencias Naturales y Museo";0;;;Argentina;;2545-6369;2545-6369;"Antropología, Arqueología, Biología, Botánica, Ecología, Geología, Paleontología, Zoología, Ictiología, Prehistoria, Ciencias de la tierra, Recursos naturales no renovables, Geoquímica"
23790;"Revista del Museo de La Plata";"Universidad Nacional de La Plata, Facultad de Ciencias Naturales y Museo";1;1;9995;Argentina;2545-6377;2545-6369;;"Antropología, Arqueología, Biología, Botánica, Ecología, Geología, Paleontología, Zoología, Ciencias de la tierra, Recursos naturales no renovables, Geoquímica"
15348;"Revista Direito e Práxis";"Universidade do Estado do Estado do Rio de Janeiro, Faculdade de Direito, Programa de Pós-Graduação em Direito";1;0;5568;Brasil;2179-8966;;;"Antropología, Ciencias sociales y humanidades, Derecho y jurisprudencia, Sociología, Estudios latinoamericanos, Criminología"
25272;"Revista do Instituto Histórico e Geográfico do Pará";"Instituto Histórico e Geográfico do Pará (IHGP)";1;0;10480;Brasil;2359-0831;2359-0831;;"Antropología, Arqueología, Cartografía, Ciencias sociales y humanidades, Cultura, Demografía, Derecho marítimo, Filosofía, Geografía, Historia, Historia de la ciencia, Historia del arte, Pesca, Relaciones internacionales, Salud pública, Sociología, Turismo, Desarrollo económico, Estudios locales, Humanidades, Planeamiento científico y tecnológico, Ciencias de la tierra, Recursos naturales no renovables, Hacienda pública, Planeación económica, Planificación urbana, Medio ambiente, Ciencias naturales, Estudios regionales"
15421;"Revista do Museu Antropológico";"Universidade Federal de Goiás (UFG)";0;;;Brasil;;0104-3560;0104-3560;Antropología
15422;"Revista do Museu de Arqueologia e Etnologia";"Universidade de São Paulo (USP)";0;;;Brasil;;0103-9709;0103-9709;"Antropología, Arqueología, Etnología, Paleontología, Humanidades"
26092;"Revista do Tribunal Regional Federal da Primeira Região";"Tribunal Regional Federal da 1ª Região (TRF1)";1;;;Brasil;2596-2493;0103-703X;0103-703X;"Antropología, Ciencia política y administración pública, Derecho y jurisprudencia, Psicología, Sociología"
25747;"Revista Educação e Humanidades";"Universidade Federal do Amazonas (UFAM)";1;;;Brasil;2675-410X;2675-410X;;"Antropología, Cultura, Educación, Filosofía, Lingüística, Literatura, Psicología, Sociología, Humanidades"
21825;"Revista Eletrônica Visagem";"Universidade Federal do Pará, Programa de Pós-Graduação em Sociologia e Antroplogia";1;;;Brasil;2446-8290;;;Antropología
26338;"Revista EntreRios";"Universidade Federal do Piauí (UFPI)";1;;;Brasil;2595-3753;2595-3753;;Antropología
19750;"Revista española de antropología americana";"Servicio de publicaciones. Universidad Complutense de Madrid";1;1;7567;España;1988-2718;0556-6533;0556-6533;"Antropología, Estudios latinoamericanos"
22361;"Revista estudios digital";"Universidad de San Carlos de Guatemala, Escuela de Historia, Instituto de Investigaciones Históricas, Antropológicas y Arqueológicas (IIHAA)";1;0;9229;Guatemala;2409-0468;2409-0468;;"Antropología, Historia"
27851;"Revista ethika+";"Centro de Estudios de Ética Aplicada de la Universidad de Chile";1;;;Chile;2452-6037;2452-6037;;"Antropología, Educación, Etica, Filosofía, Psicología, Estudios de género"
22623;"Revista euroamericana de antropología";"Ediciones Universidad de Salamanca";1;1;9331;España;2387-1555;2387-1555;;"Antropología, Estudios latinoamericanos"
25977;"Revista Humanidades & Educação";"Universidade Federal do Maranhão (UFMA)";1;;;Brasil;2675-0805;2675-0805;;"Antropología, Arte, Educación, Filosofía, Geografía, Historia, Literatura, Sociología"
25295;"Revista Ibero-Americana de Estudos em Educação";"Universidade Estadual Paulista Júlio de Mesquita Filho, Faculdade de Ciências e Letras";1;0;10500;Brasil;1982-5587;1982-5587;;"Administración, Agronomía, Antropología, Arquitectura, Arte, Biología, Ciencia política y administración pública, Computación, Cultura, Derecho civil, Derecho comparado, Educación, Etica, Farmacia, Filosofía, Historia del arte, Lingüística, Literatura, Medicina, Música, Neurología, Odontología, Pedagogía, Pediatría, Psicología, Relaciones internacionales, Salud pública, Sociología, Tecnología, Televisión, Humanidades, Planificación educativa, Ciencia, Estudios latinoamericanos, Trabajo social, Tecnología educativa, Telecomunicaciones, Educación media o secundaria, Educación preescolar, Educación primaria, Educación superior, Estudios de género"
24466;"Revista Idealogando";"Universidade Federal de Pernambuco (UFPE), Centro de Filosofia e Ciências Humanas (CFCH)";1;;;Brasil;2526-3552;2526-3552;;"Antropología, Ciencia política y administración pública, Ciencias sociales y humanidades, Sociología"
15870;"Revista IDEAS";"Universidade Federal Rural do Rio de Janeiro (UFRRJ)";1;1;5861;Brasil;1984-9834;1982-257X;;"Antropología, Ciencias sociales y humanidades, Sociología, Desarrollo económico, Economía agrícola, Planificación del desarrollo"
29069;"Revista Insigne de Humanidades";"Editora Insigne Acadêmica";1;;;Brasil;2966-2540;2966-2540;;"Antropología, Arte, Filosofía, Lingüística, Humanidades"
27260;"Revista interdisciplinaria de fenomenología";EditUCES;1;1;11237;Argentina;2718-8698;2718-8698;;"Antropología, Filosofía, Lingüística, Literatura, Psicología, Sociología"
29413;"Revista investigación & praxis en CS Sociales";"Universidad de Pamplona";1;0;11732;Colombia;2954-5331;2954-5331;;"Antropología, Historia, Psicología, Religión, Sociología, Estudios de género"
23108;"Revista Investigaciones Sociales";ECORFAN;1;0;9641;Nicaragua;2414-4835;;;"Antropología, Economía, Geografía, Historia, Sociología, Turismo"
5925;"Revista Jurídica da Ufersa";"Universidade Federal Rural do Semi-Árido (UFERSA)";1;1;1918;Brasil;2526-9488;2526-9488;;"Administración, Antropología, Ciencia política y administración pública, Ciencias sociales y humanidades, Derecho y jurisprudencia, Derecho agrario, Derecho civil, Derecho comparado, Derecho internacional, Derecho laboral, Derecho marítimo, Derecho mercantil, Derecho penal, Derecho público, Derecho procesal, Sociología, Derecho fiscal"
23888;"Revista Latinoamericana de Antropología del Trabajo";"CEIL-CONICET y CIESAS - CONACYT";1;1;10044;Argentina;2591-2755;2591-2755;;"Antropología, Ciencias sociales y humanidades, Etnología, Estudios locales, Estudios latinoamericanos"
16075;"Revista latinoamericana de estudios del trabajo";"Asociación Latinoamericana de Estudios del Trabajo";1;0;5963;Argentina;1856-8378;1405-1311;1405-1311;"Antropología, Derecho laboral, Economía, Educación"
16078;"Revista latinoamericana de estudios sobre cuerpos, emociones y sociedad";"Centro de Investigaciones y Estudios sobre Cultura y Sociedad (CIECS), Centro Argentino de Información Científica y Tecnológica / Universidad Nacional de Córdoba";1;0;5965;Argentina;1852-8759;1852-8759;;"Antropología, Sociología"
26892;"Revista Latinoamericana Ogmios";"Instituto de Investigación y Capacitación Profesional del Pacífico";1;;;Perú;2789-0309;2789-0309;;"Administración, Antropología, Educación, Psicología, Sociología, Tecnología educativa"
25938;"Revista Liberdades";"Instituto Brasileiro de Ciências Criminais (IBCCRIM)";1;;;Brasil;2175-5280;2175-5280;;"Antropología, Derecho y jurisprudencia, Derecho penal, Historia, Sociología, Derechos humanos"
16136;"Revista mad";"Universidad de Chile, Facultad de Ciencias Sociales";1;0;5993;Chile;0718-0527;0718-0527;;"Antropología, Sociología"
29276;"Revista Memória LGBT";"Instituto Memórias";1;;;Brasil;2318-6275;2318-6275;;"Antropología, Ciencias de la comunicación, Ciencias sociales y humanidades, Historia, Museología, Estudios de género"
16244;"Revista mexicana de ciencias políticas y sociales";"Universidad Nacional Autónoma de México, Facultad de Ciencias Políticas y Sociales";1;1;6041;México;2448-492X;0185-1918;0185-1918;"Antropología, Ciencia política y administración pública, Ciencias de la comunicación, Ciencias sociales y humanidades, Relaciones internacionales, Sociología"
24293;"Revista mirante";"Universidade Estadual de Goiás (UEG)";1;;;Brasil;1981-4089;1981-4089;;"Agronomía, Antropología, Arqueología, Biotecnología, Ecología, Geología, Historia, Paleontología, Química, Urbanismo, Zootecnia, Ciencias de la tierra, Industria, Geoquímica, Ciencia y Tecnología"
26419;"Revista mosaicum";"Faculdade do Sul da Bahia (FASB)";1;1;10860;Brasil;1980-4180;1808-589X;;"Antropología, Ciencias de la comunicación, Ciencias sociales y humanidades, Educación"
27797;"Revista Multidisciplinar de Estudos Nerds/Geek";"Universidade Federal do Rio Grande (FURG)";1;;;Brasil;2675-5084;2675-5084;;"Antropología, Arte, Cultura, Sociología, Humanidades"
25771;"Revista Mundaú";"Universidade Federal de Alagoas (UFAL)";1;;;Brasil;2526-3188;2526-3188;;"Antropología, Ciencias sociales y humanidades, Etnología, Sociología, Estudios locales"
16308;"Revista murciana de antropología";"Universidad de Murcia";1;1;6084;España;1989-6204;1135-691X;1135-691X;Antropología
20258;"Revista Ñanduty";"Universidade Federal da Grande Dourados (UFGD)";1;0;7940;Brasil;2317-8590;2317-8590;;Antropología
19808;"Revista nuestramérica";"Ediciones nuestrAmérica desde Abajo";1;1;7614;Chile;0719-3092;0719-3092;;"Antropología, Ciencias sociales y humanidades, Historia, Psicología, Sociología, Derechos humanos"
16346;"Revista nuevas tendencias en Antropología";"Universidad Miguel Hernández de Elche";1;0;6097;España;2173-0024;2173-0024;;Antropología
16347;"Revista NUPEM";"Universidade Estadual do Paraná (UNESPAR)";1;1;6098;Brasil;2176-7912;2175-7429;2175-7429;"Antropología, Ciencias sociales y humanidades, Educación, Historia, Humanidades"
11247;"Revista Opción";"Universidad del Zulia, Facultad Experimental de Ciencias, Departamento de Ciencias Humanas";1;0;3886;Venezuela;2477-9385;1012-1587;1012-1587;"Antropología, Ciencias de la comunicación, Filosofía, Lingüística, Filología"
24862;"Revista Peruana de Antropología";"Centro de Estudios Antropológicos Luis Eduardo Valcárcel";1;0;10344;Perú;2309-6276;2309-6276;;Antropología
22646;"Revista Redpensar";"Universidad de La Salle";0;0;9348;"Costa Rica";;2215-2938;2215-2938;"Antropología, Ciencias sociales y humanidades, Educación, Historia, Religión, Educación superior"
12784;"Revista reflexiones";"Universidad de Costa Rica";1;1;4488;"Costa Rica";1659-2859;1021-1209;1021-1209;"Antropología, Ciencias de la comunicación, Ciencias sociales y humanidades, Desarrollo económico, Estudios de género"
24396;"Revista São Luis Orione";"Faculdade Católica Dom Orione (FACDO)";1;;;Brasil;2446-5062;1982-2308;;"Administración, Antropología, Contabilidad, Derecho y jurisprudencia, Derecho agrario, Derecho civil, Derecho comparado, Derecho internacional, Derecho penal, Derecho público, Derecho procesal, Economía, Educación, Etica, Filosofía, Lingüística, Literatura, Pedagogía, Psicología, Religión, Sociología, Turismo, Economía de la empresa, Economía internacional, Estudios locales, Finanzas, Humanidades, Planeamiento científico y tecnológico, Trabajo social, Criminología, Educación superior, Planeación económica"
19823;"Revista Sarance";"Instituto Otavaleño de Antropología";1;1;7623;Ecuador;2661-6718;1390-9207;1390-9207;"Antropología, Arqueología, Computación, Filosofía, Sociología"
24419;"Revista Sentidos da Cultura";"Universidade do Estado do Pará (UEPA)";1;;;Brasil;2359-3105;2359-3105;;"Antropología, Bellas artes, Ciencias sociales y humanidades, Historia, Historia del arte, Lingüística, Literatura, Sociología, Estudios locales, Humanidades, Poesía"
28977;"Revista Taka'a";"Universidade do Estado de Mato Grosso (UNEMAT)";1;;;Brasil;2965-6796;2965-6796;;"Antropología, Cultura, Educación, Humanidades"
28178;"Revista Tlatelolco: democracia democratizante y cambio social";"Universidad Nacional Autónoma de México, Programa Universitario de Estudios sobre Democracia, Justicia y Sociedad";1;1;11483;México;2992-7099;2992-7099;;"Antropología, Ciencia política y administración pública, Ciencias sociales y humanidades, Economía, Estudios latinoamericanos, Estudios de género"
25352;"Revista uruguaya de antropología y etnografía";"Universidad de la República, Facultad de Humanidades y Ciencias de la Educación";1;1;10535;Uruguay;2393-6886;2393-6886;;"Antropología, Ciencias sociales y humanidades, Etnología, Sociología, Estudios locales, Estudios latinoamericanos"
25287;"Revista Videre";"Universidade Federal da Grande Dourados (UFGD)";1;0;10493;Brasil;2177-7837;2177-2150;;"Antropología, Ciencia política y administración pública, Derecho y jurisprudencia, Derecho agrario, Derecho civil, Derecho comparado, Derecho internacional, Derecho laboral, Derecho marítimo, Derecho mercantil, Derecho penal, Derecho público, Derecho procesal, Educación, Sociología, Derecho fiscal, Trabajo social, Genealogía"
29249;"Revista Zabelê";"Universidade Federal do Piauí (UFPI)";1;;;Brasil;2764-0787;2764-0787;;"Antropología, Ciencias sociales y humanidades, Etnología, Geografía, Historia, Sociología"
16869;Runa;"Universidad de Buenos Aires; Facultad de Filosofía  y Letras";1;1;6316;Argentina;1851-9628;0325-1217;0325-1217;"Antropología, Etnología"
20977;Ruris;"Universidade Estadual de Campinas, Instituto de Filosofia e Ciências Humanas, Centro de Estudos Rurais";1;0;8409;Brasil;2317-1480;1980-1998;;"Antropología, Sociología"
28330;"Rutas de campo";"Instituto Nacional de Antropología e Historia";1;;;México;;2448-4822;2448-4822;Antropología
27629;"Saber Policial";"Instituto Autónomo de la Policía del Estado Bolivariano de Aragua";1;;;Venezuela;2957-7667;2957-7667;;"Antropología, Ciencia política y administración pública, Ciencias sociales y humanidades, Criminología, Derechos humanos"
24734;Sacrilegens;"Universidade Federal de Juiz de Fora (UFJF)";1;;;Brasil;2237-6151;2237-6151;;"Antropología, Ciencias sociales y humanidades, Filosofía, Multidisciplinarias, Religión, Sociología, Humanidades"
16963;Sapiens;"Universidad Pedagógica Experimental Libertador (UPEL). Pedagógico de Miranda ""José Manuel Siso Martínez"". Subdirección de Investigación y Postgrado";1;0;6355;Venezuela;2244-7598;1317-5815;1317-5815;"Antropología, Ciencias sociales y humanidades, Geografía, Historia, Tecnología educativa"
17029;"Scripta ethnologica";"Centro Argentino de Etnología Americana; Centro Argentino de Información Científica y Tecnológica";1;1;6392;Argentina;1669-0990;0325-6669;0325-6669;"Antropología, Etnología, Folklore, Medicina, Salud pública, Sociología"
17032;"Scripta mediaevalia";"Universidad Nacional de Cuyo; Facultad de Filosofía Y Letras; Centro de Estudios Filosóficos Medievales";1;1;6393;Argentina;2362-4868;1851-8753;1851-8753;"Antropología, Educación, Etica, Filosofía, Historia, Literatura, Psicología, Religión, Humanidades, Ciencia"
23647;"Sem Aspas";"Universidade Estadual Paulista, Faculdade de Ciências e Letras";1;0;9937;Brasil;2358-4238;2238-359X;;"Antropología, Ciencia política y administración pública, Sociología"
29336;Septentrión;"Universidad Autónoma de Tamaulipas, Instituto de Investigaciones Históricas";1;;;México;3061-7723;3061-7723;1870-6312;"Antropología, Arqueología, Ciencias sociales y humanidades, Historia, Prehistoria, Estudios regionales"
17251;"Serie Estudios e investigaciones - Dirección de InformaciónParlamentaria";"Dirección de Información Parlamentaria";0;;;Argentina;;0327-6449;0327-6449;"Antropología, Historia"
17279;"Serie informes - Instituto de Investigaciones Históricas, Antropológicas y Arqueológicas";"Universidad de San Carlos de Guatemala, Instituto de Investigaciones Históricas, Antropológicas y Arqueológicas";0;;;Guatemala;;;;"Antropología, Arqueología, Ciencias sociales y humanidades, Historia"
17346;"Serie temas de debates - Instituto de investigaciones, antropológicas y arqueológicas";"Universidad de San Carlos de Guatemala, Instituto de Investigaciones Históricas, Antropológicas y Arqueológicas, Escuela de Historia";0;;;Guatemala;;;;"Antropología, Arqueología, Historia"
28751;Sertanias;"Universidade Estadual do Sudoeste da Bahia (UESB)";1;;;Brasil;2763-566X;2763-566X;;"Antropología, Ciencias sociales y humanidades, Educación, Etnología"
21294;Simbiótica;"Universidade Federal do Espírito Santo (UFES)";1;1;8501;Brasil;2316-1620;2316-1620;;"Antropología, Arte, Cultura, Multidisciplinarias, Sociología, Humanidades, Ciencia"
27500;Simposium;"Instituto de Estudios Humanísticos de Castilla-La Mancha";1;;;España;2794-0306;2697-0228;2697-0228;"Antropología, Bellas artes, Economía, Multidisciplinarias, Humanidades, Educación superior"
21747;Sinais;"Universidade Federal do Espírito Santo, Centro de Ciências Humanas e Naturais, Departamento de Ciências Sociais, Núcleo de Estudos e Pesquisas Indiciárias";1;0;8805;Brasil;1981-3988;;;"Antropología, Educación, Historia, Sociología"
17466;Síntesis;"Centro de Publicaciones; Secretaría de Asuntos Estudiantiles; Facultad de Filosofía y Humanidades; Universidad Nacional de Córdoba";0;;;Argentina;;1851-8060;1851-8060;"Antropología, Lingüística"
29232;"Social review";"Education Lab Consulting";1;;;España;2695-9755;2695-9755;;"Antropología, Ciencia política y administración pública, Ciencias de la comunicación, Ciencias sociales y humanidades, Historia, Sociología"
17526;Sociales;"Academia de Ciencias de la República Dominicana";0;0;6486;"República Dominicana";;2220-1033;2220-1033;"Antropología, Arqueología, Ciencia política y administración pública, Ciencias sociales y humanidades, Economía, Geografía, Historia, Psicología, Sociología"
29942;"Socializar Conocimientos";"Colectivo de Estudios Latinoamericanos de la Universidad Autónoma de Barcelona (España)";1;;;Chile;2452-4840;2452-4840;;"Antropología, Geografía, Historia, Sociología"
17541;"Sociedad y religión";"Área Sociedad, Cultura y Religión; Centro de Estudios e Investigaciones Laborales; Centro Argentino de Información Científica y Tecnológica";1;0;6490;Argentina;1853-7081;0326-9795;0326-9795;"Antropología, Historia, Religión, Sociología"
17544;"Sociedade e cultura";"Universidade Federal de Goiás, Departamento de Ciências Sociais";1;0;6493;Brasil;1980-8194;1415-8566;1415-8566;"Antropología, Ciencia política y administración pública, Sociología"
22090;"Socio debate";"Fundación Editorial Educativa y Jurídica";1;;;Argentina;2451-7763;2451-7663;;"Antropología, Ciencia política y administración pública, Ciencias de la comunicación, Derecho civil, Derecho internacional, Derecho público, Economía, Educación, Etnología, Geografía, Historia, Psicología, Religión, Sociología, Turismo, Estudios locales, Estudios latinoamericanos, Trabajo social, Estudios de género"
17560;"Sociologia & Antropologia";"Universidade Federal do Rio de Janeiro, Programa de Pós-Graduação em Sociologia e Antropologia";1;0;6502;Brasil;2238-3875;2236-7527;2236-7527;"Antropología, Sociología"
23143;"Sociologia on line";"ASSOCIAÇÃO PORTUGUESA DE SOCIOLOGIA";1;;;Portugal;1647-3337;1647-3337;;"Antropología, Ciencia política y administración pública, Ciencias de la comunicación, Ciencias sociales y humanidades, Demografía, Economía, Educación, Geografía, Historia, Historia de la ciencia, Psicología, Sociología, Turismo, Estadística, Planeamiento científico y tecnológico, Trabajo social, Educación superior, Estudios de género, Planificación urbana"
25025;Sociologiados;"Universidad de Alicante";1;;;España;2445-2661;2445-2661;;"Antropología, Ciencia política y administración pública, Demografía, Sociología"
17594;"Soñando el sur";"Universidad Católica de Temuco. Escuela de Antropología";0;;;Chile;;;0717-4977;"Antropología, Lingüística"
26554;Steiniana;"Pontificia Universidad Católica de Chile";1;1;11149;Chile;0719-8728;0719-8728;;"Antropología, Filosofía, Literatura, Medicina, Psicología, Humanidades"
17683;Sukil;"Ortzadar Euskal Folklore Taldea";0;;;España;;;1135-6197;Antropología
17699;"Suplemento antropológico";"Universidad Católica Nuestra Señora de la Asunción";0;0;6561;Paraguay;;;0378-9896;Antropología
19866;"Takurunna. Anuario de estudios sobre Ronda y la serranía";"Editorial La Serranía S.L.";0;0;7659;España;;;2253-6191;"Antropología, Arqueología, Arte, Geografía, Historia"
25433;Taltalia;"Museo Augusto Capdeville Rojas";1;;;Chile;2452-5944;0718-7025;0718-7025;"Antropología, Botánica, Ecología, Historia del arte, Literatura, Zoología"
27762;Tekoa;"Universidade Federal da Integração Latino-americana (UNILA)";1;;;Brasil;2764-8893;2764-8893;;"Antropología, Arqueología, Ciencias sociales y humanidades, Historia, Sociología, Humanidades"
17871;"Temas antropológicos";"Universidad de Yucatán, Facultad de Ciencias Antropológicas";0;0;6642;México;;1405-843X;1405-843X;Antropología
17874;"Temas de antropología aragonesa";"Instituto Aragonés de Antropología";0;0;6643;España;;;0212-5552;"Antropología, Folklore"
24451;Temáticas;"Universidade Estadual de Campinas (Unicamp)";1;1;10222;Brasil;2595-315X;1413-2486;1413-2486;"Antropología, Ciencias sociales y humanidades, Cultura, Economía, Historia, Sociología"
17973;"Teoria & Sociedade";"Universidade Federal de Minas Gerais (UFMG)";0;;;Brasil;;1518-4471;1518-4471;"Antropología, Arqueología, Ciencia política y administración pública, Sociología"
20664;"Tessituras: Revista de Antropologia e Arqueologia";"Universidade Federal de Pelotas Programa de Pós-Graduação em Antropologia";1;0;8223;Brasil;2318-9576;2318-9576;;"Antropología, Arqueología, Ciencias sociales y humanidades"
23569;"Textos y contextos desde el sur";"Universidad Nacional de la Patagonia San Juan Bosco";1;1;9891;Argentina;2347-081X;2347-081X;;"Antropología, Ciencia política y administración pública, Ciencias de la comunicación, Ciencias sociales y humanidades, Cultura, Educación, Filosofía, Geografía, Historia, Lingüística, Literatura, Sociología, Turismo, Humanidades, Trabajo social"
18160;Tlalocan;"Universidad Nacional Autónoma de México, Instituto de Investigaciones Filológicas";1;0;6762;México;2954-5242;0185-0989;0185-0989;"Antropología, Historia, Lingüística"
24988;"Tourism and Heritage Journal";"Grup d'Investigació Turisme, Cultura  i Territori (TURCiT)";1;1;11223;España;2604-2347;2604-2347;;"Antropología, Ciencias sociales y humanidades, Cultura, Historia, Historia del arte, Turismo"
19888;"Trabalho Necessário";"Universidade Federal Fluminense (UFF)";1;1;7677;Brasil;1808-799X;1808-799X;;"Antropología, Ciencias sociales y humanidades, Economía, Educación, Pedagogía, Educación media o secundaria"
18233;"Trabalhos de antropologia e etnologia";"Sociedade Portuguesa de Antropologia e Etnologia";0;0;6791;Portugal;;;0304-243X;"Antropología, Etnología"
18236;"Trabalhos do Instituto de Antropologia Dr. Mendes Corrêa";"Universidade do Porto, Faculdade de Ciências, Instituto de Antropologia Dr. Mendes Corrêa";0;;;Portugal;;0871-8113;0871-8113;Antropología
18243;Trace;"Centro de Estudios Mexicanos y Centroamericanos";0;0;6792;Iberoamericanistas-Europa;;0185-6286;0185-6286;"Antropología, Arqueología, Geografía, Historia, Estudios latinoamericanos"
18246;"Tradiciones de Guatemala";"Universidad de San Carlos de Guatemala, Centro de Estudios de las Culturas en Guatemala -CECEG-";1;0;6794;Guatemala;;0564-0571;0564-0571;"Antropología, Estudios locales"
18251;Trama;"Asociación Uruguaya de Antropología Social y Cultural";1;0;6797;Uruguay;1688-6356;1688-6348;1688-6348;"Antropología, Ciencias sociales y humanidades, Sociología"
18259;"Trans. Revista Transcultural de Música";"SIbE-Sociedad de Etnomusicología";1;0;6803;España;1697-0101;;;"Antropología, Música"
25292;Translatio;"Universidade Federal do Rio Grande do Sul (UFRGS)";1;0;10497;Brasil;2236-4013;1517-0160;;"Antropología, Cultura, Lingüística, Literatura"
19955;"Travaux et recherches dans les Amériques du Centre";"Centro de Estudios Mexicanos y Centroamericanos, CEMCA";1;1;7718;México;2007-2392;0185-6286;;"Antropología, Arqueología, Etnología, Geografía, Historia, Sociología, Estudios latinoamericanos"
27055;Travessia;"Centro de Estudos Migratórios (CEM)";1;0;10982;Brasil;2594-7869;0103-5576;;"Antropología, Arquitectura, Cultura, Derecho marítimo, Ecología, Economía, Educación, Filosofía, Geografía, Historia, Ingeniería civil, Ingeniería industrial, Literatura, Medicina, Psiquiatría, Relaciones internacionales, Religión, Sociología, Trabajo social, Enfermería, Ingeniería de transportes, Medio ambiente"
23397;"Turismo y Patrimonio";"Universidad de San Martín de Porres. Facultad de Ciencias de la Comunicación, Turismo y Psicología";1;1;9791;Perú;2313-853X;1680-9556;1680-9556;"Antropología, Arqueología, Historia, Turismo"
18413;"Unión libre. Cadernos de vida e culturas";"Ediciós do Castro";0;;;España;;;1137-1250;Antropología
18434;"Universidad de La Habana";"Universidad de La Habana, Facultad de Lenguas Extranjeras";1;1;11291;Cuba;2708-5511;0253-9276;0253-9276;"Antropología, Ciencias sociales y humanidades, Lingüística, Literatura"
18466;Universitas;"Universidad Politécnica Salesiana";1;1;6885;Ecuador;1390-8634;;1390-3837;"Antropología, Ciencia política y administración pública, Multidisciplinarias, Sociología"
18469;"Universitas humanistica";"Pontificia Universidad Javeriana";1;0;6887;Colombia;2011-2734;0120-4807;0120-4807;"Antropología, Filosofía, Sociología"
11505;Urbania;"Arqueocoop Ltda";0;0;3990;Argentina;;1853-7626;1853-7626;"Antropología, Arqueología, Ciencias sociales y humanidades, Historia, Urbanismo"
18526;"Urbe et ius";"Asociación Civil Urbe et Ius";1;;;Argentina;1668-7221;;1668-4001;"Administración, Antropología, Arqueología, Bibliografías, Ciencia política y administración pública, Derecho y jurisprudencia"
18610;Verinotio;"Universidade Federal Fluminense (UFF)";1;0;6954;Brasil;1981-061X;1981-061X;;"Administración, Antropología, Arte, Ciencia política y administración pública, Ciencias de la comunicación, Ciencias sociales y humanidades, Demografía, Educación, Filosofía, Geografía, Sociología, Estudios latinoamericanos, Criminología"
18660;"Vibrant : Virtual Brazilian Anthropology";"Associação Brasileira de Antropologia (ABA)";1;0;6981;Brasil;1809-4341;;;Antropología
23957;"Vínculos sociología, análisis y opinión";"Universidad de Guadalajara";1;;;México;3061-7103;2007-7688;2007-7688;"Antropología, Ciencias sociales y humanidades, Sociología, Estudios locales, Educación superior"
18685;"Vínculos: Revista de Antropología del Museo Nacional de Costa Rica";"Museo Nacional de Costa Rica, Departamento de Antropología e Historia";0;;;"Costa Rica";;0304-3703;0304-3703;"Antropología, Arqueología, Etnología, Lingüística"
22452;"Visioni LatinoAmericane";"EUT - Edizioni Università di Trieste";1;1;9283;Iberoamericanistas-Europa;2035-6633;2035-6633;;"Antropología, Ciencias sociales y humanidades, Derecho y jurisprudencia, Educación, Pedagogía, Relaciones internacionales, Sociología, Estudios latinoamericanos, Trabajo social"
28331;"Vita brevis";"Instituto Nacional de Antropología e Historia";1;;;México;2007-9591;2007-9591;;Antropología
26346;Vivência;"Universidade Federal do Rio Grande do Norte (UFRN)";1;;;Brasil;2238-6009;2238-6009;;Antropología
572;Vivência;"Universidade Federal do Rio Grande do Norte (UFRN)";1;;;Brasil;2238-6009;2238-6009;0104-7299;Antropología
18735;"Voces Indígenas Revista informativa de la red de pueblos indígenas del pacífico, centro y norte de Nicaragua";"María José Mendoza Galàn, Raquel García, Laurence Klein,  Victor Manuel del Cid Lucero";1;;;Nicaragua;;;;"Antropología, Arqueología, Ciencias sociales y humanidades, Derecho público, Sociología"
18747;Volveré;"Instituto para el Estudio y la Cultura Andina";1;;;Chile;0718-3658;0718-3658;;"Antropología, Arqueología, Historia"
